,ºÐ·ù,¸íÄª,À§µµ,°æµµ
122,ÆíÀÇÁ¡,CU ¿ª»ï½Å¿õÁ¡,37.50141199999999,127.040169
123,ÆíÀÇÁ¡,GS25 ¿ª»ïÅÂ±ØÁ¡,37.4953323,127.0303725
124,ÆíÀÇÁ¡,ÀÌ¸¶Æ®24 ¿ª»ï½ÅÇÑÁ¡,37.4953227,127.038463
125,ÆíÀÇÁ¡,GS25 ¿ª»ïÀÌ´ãÁ¡,37.4985118,127.0340725
126,ÆíÀÇÁ¡,CU ¿ª»ï°¡È­Á¡,37.4959609,127.042699
127,ÆíÀÇÁ¡,CU ¿ª»ïÄ«ÀÌ·Î½ºÁ¡,37.491656,127.0315498
128,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ï¹ß·»Å¸ÀÎÁ¡,37.49187999999999,127.0314259
129,ÆíÀÇÁ¡,GS25 ¿ª»ïÇÞ»ìÁ¡,37.4969325,127.0390802
130,ÆíÀÇÁ¡,GS25 ¿ª»ïÅ×Çì¶õÁ¡,37.502262,127.0392663
131,ÆíÀÇÁ¡,ÀÌ¸¶Æ®24 ¿ª»ïDeliveryÁ¡,37.4959295,127.0411162
132,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ï°³³ª¸®Á¡,37.4986101,127.0458492
133,ÆíÀÇÁ¡,ÀÌ¸¶Æ®24 ¿ª»ïÅ×Çì¶õÁ¡,37.4969778,127.0337971
134,ÆíÀÇÁ¡,ÀÌ¸¶Æ®24 ¿ª»ï½Â¸®Á¡,37.5004833,127.0316495
135,ÆíÀÇÁ¡,GS25 °­³²¿ª½ÅºÐ´ç¼±A,37.4872446,127.0327813
136,ÆíÀÇÁ¡,GS25 °³³ª¸®SKÁ¡,37.5005166,127.0502997
137,ÆíÀÇÁ¡,¹Ì´Ï½ºÅé¿ª»ïÃæÇöÁ¡,37.5056511,127.0354373
138,ÆíÀÇÁ¡,GS25 ¿ª»ï½Ö¸¶Á¡,37.4976892,127.0334227
139,ÆíÀÇÁ¡,CU ¿ª»ï½ÃÆ¼Á¡,37.50061770000001,127.0303788
140,ÆíÀÇÁ¡,ÀÌ¸¶Æ®24 ¿ª»ïÈÞ¸ÕÅÍÄ¡ºôÁ¡,37.5064572,127.0337383
141,ÆíÀÇÁ¡,ÀÌ¸¶Æ®24 ¿ª»ï¼­ÈñÁ¡,37.4914026,127.0326232
142,ÆíÀÇÁ¡,ÀÌ¸¶Æ®24 ¿ª»ï¼¾ÅÍÁ¡,37.4999954,127.0427617
143,ÆíÀÇÁ¡,GS25 ¿ª»ïÅÂ¾çÁ¡,37.5010771,127.0349533
144,ÆíÀÇÁ¡,GS25 ¿ª»ïÁ¦½ºÆ®Á¡,37.5068316,127.0447624
145,ÆíÀÇÁ¡,CU ¿ª»ï·ÎÁîÁ¡,37.4762642,127.0567424
146,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ï17È£Á¡,37.4968362,127.0397531
147,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ï¾ðÁÖ·ÎÁ¡,37.5009626,127.0412509
148,ÆíÀÇÁ¡,CU ¿ª»ïÁø¹ÌÁ¡,37.500712,127.0342726
149,ÆíÀÇÁ¡,ÀÌ¸¶Æ®24 ¿ª»ïÃÊ±³Á¡,37.4934193,127.0339415
150,ÆíÀÇÁ¡,GS25 ¿ª»ï¹Ì·¡Á¡,37.5057027,127.0401887
151,ÆíÀÇÁ¡,GS25 S°­³²¿ª3È£Á¡,37.49794199999999,127.027621
152,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ïÀ£½ºÅä¾îÁ¡,37.4931358,127.0396637
