,LINK_NO,RDS_MAN_NO,RN,RN_CD,SP,EP,LUX
1419,LINK_1419,551,테헤란로22길,4166725,"[37.4971158096975, 127.03584569569858]","[37.49662013264678, 127.03563261154535]",56.794
1420,LINK_1420,551,테헤란로22길,4166725,"[37.49662013264678, 127.03563261154535]","[37.496279062451045, 127.03540276202746]",81.151
1421,LINK_1421,551,테헤란로22길,4166725,"[37.496279062451045, 127.03540276202746]","[37.49621844591753, 127.03536191167764]",74.52799999999999
1422,LINK_1422,551,테헤란로22길,4166725,"[37.49621844591753, 127.03536191167764]","[37.496032788921035, 127.0350673604986]",159.719
1423,LINK_1423,551,테헤란로22길,4166725,"[37.496032788921035, 127.0350673604986]","[37.4960314923909, 127.03506415967777]",109.548
1424,LINK_1424,551,테헤란로22길,4166725,"[37.4960314923909, 127.03506415967777]","[37.49575462754879, 127.03437937905942]",109.548
1425,LINK_1425,551,테헤란로22길,4166725,"[37.49575462754879, 127.03437937905942]","[37.49551382202553, 127.0339716584017]",109.548
1426,LINK_1426,551,테헤란로22길,4166725,"[37.49551382202553, 127.0339716584017]","[37.49550380255891, 127.03377555870709]",56.794
1427,LINK_1427,848,테헤란로22길,4166725,"[37.4960314923909, 127.03506415967777]","[37.495914957493135, 127.03512630294935]",109.548
1428,LINK_1428,848,테헤란로22길,4166725,"[37.495914957493135, 127.03512630294935]","[37.495801748363306, 127.0350578260757]",109.548
1429,LINK_1429,848,테헤란로22길,4166725,"[37.495801748363306, 127.0350578260757]","[37.49567730472221, 127.03492217357883]",85.191
1430,LINK_1430,848,테헤란로22길,4166725,"[37.49567730472221, 127.03492217357883]","[37.495418067646646, 127.03463957980073]",192.15599999999998
1431,LINK_1431,523,테헤란로25길,4166726,"[37.50042404095458, 127.03560541379929]","[37.50099514992515, 127.03531627559653]",24.357
1432,LINK_1432,523,테헤란로25길,4166726,"[37.50099514992515, 127.03531627559653]","[37.50112970650081, 127.0352481540421]",0.0
1433,LINK_1433,523,테헤란로25길,4166726,"[37.50112970650081, 127.0352481540421]","[37.501296487389695, 127.03516371641909]",74.52799999999999
1434,LINK_1434,523,테헤란로25길,4166726,"[37.501296487389695, 127.03516371641909]","[37.501315730090376, 127.03517294194424]",81.151
